City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,Doha,25.2867,51.5333,66.18,72,0,9.22,QA,2021-12-13 00:07:36
355,Khani,41.9563,42.9566,42.37,42,76,7.83,GE,2021-12-13 00:08:06
356,Cerro Largo,-28.1486,-54.7381,79.38,52,42,3.31,BR,2021-12-13 00:08:06
357,Tuatapere,-46.1333,167.6833,64.81,53,52,5.28,NZ,2021-12-13 00:08:06
358,Matamoros,25.5333,-103.25,71.71,33,75,4.61,MX,2021-12-13 00:08:06
359,Ismailia,30.6043,32.2723,63.93,67,100,6.78,EG,2021-12-13 00:08:07
360,Atar,20.5169,-13.0499,69.82,17,78,8.32,MR,2021-12-13 00:05:18
361,Ternate,0.8,127.4,83.1,77,100,8.72,ID,2021-12-13 00:08:07
362,Santa Marta,11.2408,-74.199,77.99,84,100,13.49,CO,2021-12-13 00:04:44
363,Tibu,8.639,-72.7358,74.01,86,83,1.19,CO,2021-12-13 00:08:08
364,West Bay,19.3667,-81.4167,82.47,79,20,5.01,KY,2021-12-13 00:05:51
365,Lufilufi,-13.8745,-171.5986,82.31,70,72,10.67,WS,2021-12-13 00:08:08
366,Port-Gentil,-0.7193,8.7815,79.38,81,99,5.39,GA,2021-12-13 00:08:08
367,Vostok,46.4856,135.8833,1.85,93,100,8.48,RU,2021-12-13 00:08:09
368,Port Macquarie,-31.4333,152.9167,74.89,59,1,10.65,AU,2021-12-13 00:06:13
369,Khandbari,27.3747,87.2039,50.63,62,1,3.78,NP,2021-12-13 00:08:09
370,Sobolevo,54.4299,31.8996,31.62,96,100,7.52,RU,2021-12-13 00:08:10
371,Kaeo,-35.1,173.7833,71.33,95,100,6.64,NZ,2021-12-13 00:08:10
372,Galesong,-5.3166,119.3661,77.02,81,99,6.85,ID,2021-12-13 00:08:06
373,Pital,2.2665,-75.8044,68.58,95,92,4.27,CO,2021-12-13 00:08:10
374,Honghu,29.8206,113.4621,45.88,85,15,5.21,CN,2021-12-13 00:08:11
375,Harrisburg,40.2737,-76.8844,42.04,47,1,3.0,US,2021-12-13 00:07:01
376,Lipari,38.4674,14.954,54.54,60,13,19.06,IT,2021-12-13 00:08:11
377,Sambava,-14.2667,50.1667,74.59,84,79,7.27,MG,2021-12-13 00:08:11
378,Xining,36.6167,101.7667,20.93,31,0,2.17,CN,2021-12-13 00:08:12
379,Westport,41.1415,-73.3579,46.98,50,1,3.0,US,2021-12-13 00:08:12
380,Antofagasta,-23.65,-70.4,63.68,80,41,5.68,CL,2021-12-13 00:06:03
381,Buraydah,26.326,43.975,53.49,32,78,5.06,SA,2021-12-13 00:08:13
382,Comodoro Rivadavia,-45.8667,-67.5,55.26,88,0,5.75,AR,2021-12-13 00:08:13
383,Road Town,18.4167,-64.6167,78.89,76,19,20.96,VG,2021-12-13 00:08:13
384,Ancud,-41.8697,-73.8203,55.42,75,48,7.92,CL,2021-12-13 00:08:14
385,Bambanglipuro,-7.95,110.2833,66.6,78,97,4.34,ID,2021-12-13 00:08:14
386,Alofi,-19.0595,-169.9187,78.42,70,6,7.74,NU,2021-12-13 00:08:14
387,Bhan,26.5583,67.7214,61.02,24,57,4.85,PK,2021-12-13 00:08:15
388,El Alto,-4.2714,-81.2147,66.52,81,31,10.94,PE,2021-12-13 00:08:15
389,Mezen,65.8522,44.24,14.11,92,100,9.06,RU,2021-12-13 00:08:15
