city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
59,Cabo San Lucas,22.8909,-109.9124,73.15,77,67,5.06,MX,broken clouds,2021-12-13 04:47:26
60,San Jeronimo,-11.9472,-75.2829,48.9,91,100,0.78,PE,overcast clouds,2021-12-13 04:52:57
61,Shingu,33.7333,135.9833,56.39,45,6,7.54,JP,clear sky,2021-12-13 04:49:20
62,New Norfolk,-42.7826,147.0587,81.66,21,16,4.27,AU,few clouds,2021-12-13 04:47:15
63,Georgetown,5.4112,100.3354,88.9,65,20,1.01,MY,few clouds,2021-12-13 04:47:03
64,Avarua,-21.2078,-159.775,73.45,94,75,11.5,CK,moderate rain,2021-12-13 04:46:48
65,Iranshahr,27.2025,60.6848,52.14,25,0,0.0,IR,clear sky,2021-12-13 04:47:13
66,Ayan,56.45,138.1667,12.22,64,99,6.87,RU,overcast clouds,2021-12-13 04:52:57
67,Lata,40.1629,-8.3327,55.92,86,9,4.54,PT,clear sky,2021-12-13 04:52:58
68,Qaanaaq,77.484,-69.3632,-3.6,73,1,5.3,GL,clear sky,2021-12-13 04:46:54
69,Harper,4.375,-7.7169,78.13,86,9,5.44,LR,light rain,2021-12-13 04:48:09
70,Yar-Sale,66.8333,70.8333,-17.12,100,93,2.55,RU,overcast clouds,2021-12-13 04:52:58
71,Codajas,-3.8367,-62.0569,73.38,99,100,2.64,BR,light rain,2021-12-13 04:52:59
72,Ribeira Grande,38.5167,-28.7,58.86,56,100,11.25,PT,overcast clouds,2021-12-13 04:47:04
73,Pillaro,-1.1667,-78.5333,53.15,91,97,4.63,EC,light rain,2021-12-13 04:52:59
74,Portree,57.4129,-6.1942,43.86,71,98,18.39,GB,overcast clouds,2021-12-13 04:52:59
75,Puerto Asis,0.5133,-76.5007,73.47,94,81,0.25,CO,broken clouds,2021-12-13 04:53:00
76,Half Moon Bay,37.4636,-122.4286,55.58,94,90,5.01,US,mist,2021-12-13 04:47:07
77,Tuatapere,-46.1333,167.6833,61.83,59,71,6.06,NZ,broken clouds,2021-12-13 04:49:10
78,Guerrero Negro,27.9769,-114.0611,60.37,72,95,8.77,MX,overcast clouds,2021-12-13 04:49:28
79,Buala,-8.145,159.5921,84.34,79,63,9.31,SB,moderate rain,2021-12-13 04:53:00
80,Cozumel,20.5083,-86.9458,75.18,91,2,10.45,MX,clear sky,2021-12-13 04:53:01
81,Katsuura,35.1333,140.3,59.11,42,32,11.41,JP,scattered clouds,2021-12-13 04:47:07
82,Bethel,41.3712,-73.414,41.2,59,1,1.01,US,clear sky,2021-12-13 04:46:43
83,Hilo,19.7297,-155.09,74.93,38,20,4.61,US,light rain,2021-12-13 04:47:01
84,Davila,18.4726,120.5763,87.78,63,44,24.65,PH,scattered clouds,2021-12-13 04:53:01
85,Mahebourg,-20.4081,57.7,82.26,74,75,5.75,MU,broken clouds,2021-12-13 04:47:32
86,San Juan Del Sur,11.2529,-85.8705,77.2,80,48,19.44,NI,scattered clouds,2021-12-13 04:53:02
87,Klaksvik,62.2266,-6.589,38.32,99,100,34.61,FO,overcast clouds,2021-12-13 04:53:02
88,High Prairie,55.4334,-116.4858,9.7,91,100,5.08,CA,overcast clouds,2021-12-13 04:47:25
89,Talnakh,69.4865,88.3972,-27.8,79,42,1.59,RU,scattered clouds,2021-12-13 04:47:30
90,Kavaratti,10.5669,72.642,82.31,70,74,5.95,IN,broken clouds,2021-12-13 04:49:27
91,Mar Del Plata,-38.0023,-57.5575,62.87,74,0,1.01,AR,clear sky,2021-12-13 04:47:42
92,Iqaluit,63.7506,-68.5145,6.53,60,75,8.01,CA,broken clouds,2021-12-13 04:48:46
93,Shubarkuduk,49.1447,56.4872,17.38,64,0,9.31,KZ,clear sky,2021-12-13 04:53:03
94,Vaini,-21.2,-175.2,84.36,79,40,11.5,TO,light rain,2021-12-13 04:46:58
95,Cabedelo,-6.9811,-34.8339,75.87,79,72,11.16,BR,broken clouds,2021-12-13 04:47:17
96,San Patricio,28.017,-97.5169,64.26,78,15,4.76,US,few clouds,2021-12-13 04:47:02
97,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,90,16.11,CA,light snow,2021-12-13 04:46:45
98,Sao Joao Da Barra,-21.6403,-41.0511,75.06,94,100,11.83,BR,overcast clouds,2021-12-13 04:47:47
99,Narsaq,60.9167,-46.05,17.82,74,97,7.29,GL,overcast clouds,2021-12-13 04:48:52
100,Comodoro Rivadavia,-45.8667,-67.5,55.26,82,100,9.22,AR,moderate rain,2021-12-13 04:45:25
101,Yellowknife,62.456,-114.3525,6.3,92,90,4.61,CA,light snow,2021-12-13 04:46:47
