City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Lorengau,PG,84.6,overcast clouds,-2.0226,147.2712,Lorengau
293,Sao Felix Do Xingu,BR,72.39,overcast clouds,-6.6447,-51.995,São Félix do Xingu
297,Borba,BR,74.53,overcast clouds,-4.3878,-59.5939,Borba
298,Jizan,SA,72.54,clear sky,17.3333,42.6667,بير أبو زيد الهلالي
301,Broken Hill,AU,91.11,broken clouds,-31.95,141.4333,Broken Hill
303,Maroantsetra,MG,77.34,broken clouds,-15.4333,49.7333,Maroantsetra
305,Ahuimanu,US,76.75,broken clouds,21.4447,-157.8378,Honolulu
306,San Vicente De Chucuri,CO,72.77,overcast clouds,6.881,-73.4098,San Vicente de Chucurí
309,Sabang,ID,82.04,scattered clouds,5.8933,95.3214,Sabang
310,Kande,TG,72.59,scattered clouds,9.9578,1.0447,Kande
313,Esperance,AU,73.24,overcast clouds,-33.8667,121.9,Esperance
315,Yulara,AU,91.24,scattered clouds,-25.2406,130.9889,Petermann
320,Barra Patuca,HN,75.76,clear sky,15.8,-84.2833,Barra Patuca
321,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Padang
322,Lusambo,CD,72.12,overcast clouds,-4.9667,23.45,Lusambo
326,Hohoe,GH,74.37,few clouds,7.1518,0.4736,Hohoe
328,Manokwari,ID,84.38,overcast clouds,-0.8667,134.0833,Manokwari
333,Homestead,US,78.03,clear sky,25.4687,-80.4776,Homestead
334,San Pedro De Macoris,DO,77.49,clear sky,18.4616,-69.2972,San Pedro De Macoris
348,Pemangkat,ID,82.49,broken clouds,1.1667,108.9667,Pemangkat
350,Kawalu,ID,86.9,overcast clouds,-7.3817,108.2082,Tasikmalaya
353,Phangnga,TH,86.04,broken clouds,8.4509,98.5298,Thai Chang
356,Amlagora,IN,73.35,few clouds,22.8333,87.3333,Garhbeta
358,Mattru,SL,73.92,clear sky,7.6244,-11.8332,Bandajuma
360,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,Touros
364,Hervey Bay,AU,85.03,scattered clouds,-25.2986,152.8535,Hervey Bay
366,Tautira,PF,82.42,light rain,-17.7333,-149.15,Tautira
368,Cedeno,CO,73.27,overcast clouds,7.0464,-72.1634,Cedeno
370,Ambulu,ID,86.25,broken clouds,-8.345,113.6058,Sabrang
373,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Kahului
376,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Boa Vista
377,Kloulklubed,PW,83.26,overcast clouds,7.0419,134.2556,Klouklubed
378,Urucara,BR,74.08,light rain,-2.5364,-57.76,Urucará
379,Sawakin,SD,81.27,scattered clouds,19.1059,37.3321,Suakin
382,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Goodlands
387,Nieuw Amsterdam,SR,77.02,overcast clouds,5.8833,-55.0833,Paramaribo
